"language","text"
"Russian","Один раз в жизни я делаю хорошее дело... И оно бесполезно."
"Russian","Давайте что-нибудь попробуем!"
"Russian","Мне пора идти спать."
"Russian","Что ты делаешь?"
"Russian","Что это?"
"Russian","Сегодня 18 июня, и это день рождения Мюриэл!"
"Russian","С днём рождения, Мюриэл!"
"Russian","Мюриэл сейчас 20."
"Russian","Пароль «Muiriel»."
"Russian","У меня нет слов."
"Russian","Не знаю, что и сказать."
"Russian","Это был злой кролик."
"Russian","Это новая фотография?"
"Russian","Я не знаю, будет ли у меня время."
"Russian","Микрофон по какой-то причине до этого не работал."
"Russian","Каждый, в итоге, должен учиться сам."
"Russian","Учиться нельзя заставлять. Учёбу нужно поощрять."
"Russian","Нелегко решать, что правильно, а что нет, но приходится это делать."
"Russian","Это ничего не изменит."
"Russian","Я зарабатываю сто евро в день."
"Russian","Я, может, скоро сдамся и вместо этого пойду вздремну."
"Russian","Этого не случится."
"Russian","Иногда он очень странен."
"Russian","Я постараюсь не мешать тебе учиться."
"Russian","Я могу только догадываться, так ли это и для всех остальных."
"Russian","Я полагаю, это будет выглядеть несколько иначе, когда ты подумаешь об этом в долгосрочном плане."
"Russian","Не беспокойся."
"Russian","Я скучаю по тебе."
"Russian","Я позвоню им завтра, когда вернусь домой."
"Russian","Мне всегда больше нравились таинственные персонажи."
"Russian","Тебе лучше поспать."
"Russian","Я пойду."
"Russian","Я сказал им послать мне ещё один билет."
"Russian","У тебя не хватает терпения на меня."
"Russian","Я так жить не могу."
"Russian","Когда-то я хотел быть астрофизиком."
"Russian","Я никогда не любил биологию."
"Russian","Последний человек, которому я рассказал свою идею, решил, что я сумасшедший."
"Russian","Если бы мир не был таким, каков он сейчас, я мог бы доверять людям."
"Russian","К сожалению, это правда."
"Russian","Они слишком заняты склоками друг с другом, чтобы думать об общих идеалах."
"Russian","Большинство людей думает, что я сумасшедший."
"Russian","Нет, не я, а ты!"
"Russian","Это мой ответ!"
"Russian","Он меня пинает!"
"Russian","Ты уверен?"
"Russian","Тогда это проблема..."
"Russian","О, здесь бабочка!"
"Russian","Это не удивительно."
"Russian","Если бы я мог быть таким..."
"Russian","Почему-то по ночам я бодрее."
"Russian","Это зависит от контекста."
"Russian","Ты шутишь?"
"Russian","Это самая глупая вещь, которую я когда-либо говорил."
"Russian","Я не хочу быть жалким, я хочу быть крутым!!"
"Russian","Когда я вырасту, я хочу стать королём."
"Russian","Америка - это очень милое место, если вы находитесь здесь с целью заработать деньги."
"Russian","Я такой жирный."
"Russian","Так что?"
"Russian","Я пристрелю его."
"Russian","Я не настоящая рыба; я всего лишь плюшевая игрушка."
"Russian","Я всего лишь говорю!"
"Russian","Скорее всего, это и повлияло на их решение."
"Russian","Мне всегда было интересно, как это - иметь братьев и сестер."
"Russian","Я бы так и сказал."
"Russian","Мне потребуется вечность, чтобы всё объяснить."
"Russian","Это потому, что ты девушка."
"Russian","Иногда я не могу сдержать эмоций."
"Russian","Это и есть то слово, для которого я хотел бы найти замену."
"Russian","Это было что-то, что я должен был запрограммировать."
"Russian","Я не хочу быть эгоистичным."
"Russian","Давай подумаем, что может произойти в худшем случае."
"Russian","Сколько у тебя близких друзей?"
"Russian","Быть может, я и асоциален, но это не значит, что я не общаюсь с людьми."
"Russian","Так оно и есть."
"Russian","Думаю, лучше вести себя воспитанно."
"Russian","Время всегда можно найти."
"Russian","Быть может, я несчастлив, но я не собираюсь убивать себя."
"Russian","Когда я учился в средней школе, я вставал в 6:00 каждое утро."
"Russian","Когда я проснулся, мне было грустно."
"Russian","Это то, что раскрывается под конец."
"Russian","Я думал, ты любишь изучать новые вещи."
"Russian","Многие люди пишут о своей обыденной жизни."
"Russian","Если бы я мог послать тебе зефир, Чанг, я сделал бы это."
"Russian","Ты должен рискнуть, чтобы сделать это."
"Russian","Каждый одинокий человек одинок из-за страха перед окружающими."
"Russian","Почему ты спрашиваешь?"
"Russian","Я не художник. Я совсем не гожусь для этого."
"Russian","Я не могу сказать ей это сейчас. Это уже не так просто."
"Russian","Я человек с недостатками, но это недостатки, которые могут быть легко устранены."
"Russian","Всегда, когда я нахожу что-либо, что мне нравится, это слишком дорого."
"Russian","Сколько ты там пробыл?"
"Russian","Может, для него это будет то же самое."
"Russian","Невинность - это прекрасная штука."
"Russian","Люди не могут жить вечно."
"Russian","Я не хочу менять свои взгляды, даже если они несколько экстремальны."
"Russian","Думаю, у меня есть теория на этот счёт."
"Russian","Это интересно."
"Russian","Ты хочешь сказать, что намеренно скрываешь свою красоту?"
"Russian","У меня нет учетной записи на этих форумах."
"Russian","Если кто-либо спросит, в чем суть истории, я действительно не знаю."
"Russian","Я не знал, откуда это пришло."
